Id,Word,Transcription,Definition,Example
3311,lyric,ˈlɪrɪk,"When a poem is considered lyric, it expresses a lot of emotion.",I enjoy reading and creating my own lyric poetry.
3312,majesty,ˈmædʒəsti,Majesty is supreme greatness or authority.,The majesty of the old castle amazed the tourists who came to see it.
3313,monarch,ˈmɑːnərk,The monarch of a country is someone who rules a country through hereditary right.,The monarch lived in a beautiful palace with a grand gate.
3314,precede,prɪˈsiːd,To precede something means to come before it.,The hurricane was preceded by a moment of still wind and clear sky.
3315,punctual,ˈpʌŋktʃuəl,"When someone is punctual, they do something or arrive at the right time.",My mother hates being late. She is the most punctual person I know.
3316,recruit,rɪˈkruːt,To recruit people means to select them to join or work for an organization.,We successfully recruited someone to be the new manager.
3317,refund,ˈriːfʌnd,A refund is money given back to a person when an item is returned to a store.,I asked for a refund because the shoes I bought were too tight.
3318,register,ˈredʒɪstər,A register is an official list or record of people or things.,"At a wedding, there is register for all of the guests to sign."
3319,renown,rɪˈnaʊn,Renown is the quality of being well known due to having done good things.,Michael is a singer of great renown in New Zealand.
3320,tusk,tʌsk,"A tusk is a long, curved, pointed tooth of an elephant, boar, or walrus.","Sadly, some people hunt elephants and remove their tusks to sell them."
3321,coexist,ˌkəʊɪɡˈzɪst,To coexist with something means to exist with it in the same time and place.,Our pets coexist in our home with few or no problems.
3322,conceive,kənˈsiːv,To conceive something means to be able to imagine or believe it.,The child could not conceive the actual size of the Earth.
3323,dubious,ˈduːbiəs,"When something or someone is dubious, they are not considered honest.",The police thought that the man’s description of the crime was dubious.
3324,ego,ˈeɡəʊ,An ego is a person’s sense of their own worth.,Kelly’s ego made her think that she was some kind of a superhero.
3325,elastic,ɪˈlæstɪk,Elastic is a rubber that stretches when it is pulled.,He attached the elastic bungee to his legs before he jumped of the platform.
3326,endeavor,indévər,"An endeavor is an attempt to do something, especially something new, or original.",The company’s new advertising endeavor ended in a horrible failure.
3327,engrave,ɪnˈɡreɪv,"To engrave means to cut a design, or words, into the surface of something.",The couple engraved their names onto the old pine tree.
3328,excavate,ˈekskəveɪt,To excavate means to dig on land and remove dirt to look for something.,The team wishes to excavate the site in hope of finding fossils.
3329,jagged,ˈdʒæɡɪd,"When something is jagged, it has a tough, uneven shape or edge.",The swimmer was hurt when he fell on the jagged rocks.
3330,locale,ləʊˈkæl,A locale is a small area or place where something specific happens.,The spa was the perfect locale for my mother to relax and enjoy her vacation.
3331,magnitude,ˈmæɡnɪtuːd,Magnitude refers to large size.,This was a discovery of great magnitude.
3332,mold,məʊld,A mold is a hollow container that is used to make certain shapes.,Using a cupcake mold will ensure that they come out just right.
3333,outright,ˈaʊtraɪt,"When something is outright, it is open and direct.",Everyone knew that the boy’s story was an outright lie.
3334,periphery,pəˈrɪfəri,"The periphery of an area, place, or thing is the edge of it.",A beautiful floral pattern is on the periphery of the stationery.
3335,plaster,ˈplæstər,Plaster is a smooth paste that gets hard when it dries.,He used plaster to fill in the cracks in the old walls.
3336,shovel,ˈʃʌvl,A shovel is a tool with a long handle that is used for digging.,The boy grabbed his shovel and got all of the snow off of the sidewalk.
3337,skeletal,ˈskelətl,"When something is skeletal, it relates to bones in the body.",We studied the skeletal system in anatomy class.
3338,stumble,ˈstʌmbl,"When you stumble, you move in an awkward, unplanned way.",She stumbles a lot when she is drunk.
3339,thigh,θaɪ,Your thigh is the upper half of your leg.,He suffered from a serious thigh injury.
3340,vicious,ˈvɪʃəs,"When something or someone is vicious, they are violent and cruel.",The vicious dog tried to bite the small child.
3341,attic,ˈætɪk,An attic is a room just below a house’s roof.,There were two windows in their attic.
3342,chunk,tʃʌŋk,"A chunk is a thick, solid piece of something.","When they broke open the rock, they saw it was filled with chunks of gold."
3343,civic,ˈsɪvɪk,"If something is civic, then it is related to a town or city, in particular to its government.",Most of the important civic buildings are located downtown.
3344,descent,dɪˈsent,A descent is a movement downwards.,"During the space shuttle’s descent, the Earth appeared larger and larger."
3345,din,dɪn,"A din is loud, unpleasant, and extended noise.",The din of the rusty machinery made the factory a horrible place to work.
3346,dissatisfy,dissǽtisfài,To dissatisfy someone means to fail to please them.,He was dissatisfied with his meal.
3347,fuss,fʌs,A fuss is excited or annoyed behavior that is not useful in any way.,The child made an awful fuss because she didn’t want to go to bed.
3348,glamorous,ˈɡlæmərəs,A glamorous occasion is one full of beauty and excitement.,There is nothing glamorous about where we live. It is very ordinary.
3349,gourmet,ˈɡʊrmeɪ,"If food is gourmet, then it is nicer and more expensive than regular food.","In order to get a gourmet meal, you have to eat at an expensive restaurant."
3350,hence,hens,The word hence shows that something is a result of something else.,"Mary forgot the key. Hence, we couldn’t open the door."
3351,intrinsic,ɪnˈtrɪnzɪk,"If something is intrinsic, then it is related to the basic nature of that thing.",Paper money has no intrinsic value. It is useful simply because society says it is.
3352,kettle,ˈketl,A kettle is a large metal pot used for boiling liquids or cooking food.,The soup was being cooked in a large kettle.
3353,ministry,ˈmɪnɪstri,A ministry is a government department.,The Ministry of Trade is responsible for taxing imports and exports.
3354,ordeal,ˈɔːdiːl,An ordeal is a bad experience.,Driving in the snowstorm was an ordeal she’d never forget.
3355,outspoken,aʊtˈspəʊkən,"If someone is outspoken, then they are not afraid to say what they think.",She was an outspoken critic about the new banking laws.
3356,overwork,ˌəʊvərˈwɜːrk,To overwork someone means to make them tired with too much work.,"After working for three weeks with only one day of rest, Judy was overworked."
3357,particular,pərˈtɪkjələr,"If something is particular, then it is a single, important part of a group of things.",The dress shop didn’t have the particular dress she was looking for.
3358,snore,snɔːr,To snore means to make a loud noise each time a sleeping person breathes.,It was impossible to get to sleep because my husband snored.
3359,soundly,ˈsaʊndli,"If something is done soundly, then it is done in the best or most complete way.",The nearest opponent was ten meters behind. She won the race soundly.
3360,superintendent,ˌsuːpərɪnˈtendənt,A superintendent is a person who runs a certain department or building.,The superintendent decided to close the schools because of the weather.
3361,congested,kənˈdʒestɪd,"If something is congested, it is full or blocked.",Tom didn’t get home until after dark because the road was so congested.
3362,courier,ˈkʊriər,A courier is someone who takes and delivers mail or packages.,"Before trains, most couriers used horses to travel."
3363,deform,dɪˈfɔːrm,To deform something means to change it from its correct or original shape.,The computer program deformed the building’s picture into an unreal sight.
3364,etiquette,ˈetɪket,Etiquette is the group of rules about how to be polite.,"When in Asian countries, bowing is a form of etiquette."
3365,exclusive,ɪkˈskluːsɪv,"If something is exclusive, it is expensive and only for rich people.",The golf course was so exclusive that most people hadn’t even heard of it.
3366,freight,freɪt,"Freight is a set of items carried on a train, boat, or airplane.",Trade ships only carried valuable freight like silk and spices.
3367,garment,ˈɡɑːrmənt,A garment is a piece of clothing.,The businessman had all of his garments cleaned before the important meeting.
3368,insomnia,ɪnˈsɑːmniə,Insomnia is a condition in which a person has difficulty sleeping.,Nate’s insomnia prevented him from getting enough rest.
3369,intuitive,ɪnˈtuːɪtɪv,Intuitive is knowing about something without having support or proof.,Rhonda had an intuitive feeling that Shane wasn’t coming to school today.
3370,liable,ˈlaɪəbl,"If something is liable to happen, it is very likely that it will happen.","During the summer months, hikers in the forest are liable to see deer and elk."
3371,obsess,əbˈses,To obsess about something means to think about it all of the time.,"After watching the Star Wars movies, Ike obsessed about becoming a Jedi."
3372,overboard,ˈəʊvərbɔːrd,"When something is overboard, it is over the side of a boat and in the water.",Tom and Gary slipped on the wet floor and fell overboard.
3373,premium,ˈpriːmiəm,A premium is a payment that is higher than average.,Tony paid a premium for the gas because it made his car run better.
3374,privilege,ˈprɪvəlɪdʒ,A privilege is a special right given only to a certain person or group of people.,Only the best employee had the privilege of parking in that spot.
3375,propel,prəˈpel,To propel something means to push or move it somewhere.,The strong wind propelled the leaf through the air and across the street.
3376,socialize,ˈsəʊʃəlaɪz,To socialize is to have a good time with people.,I like to socialize with my classmates after school.
3377,suppress,səˈpres,To suppress something means to prevent it from happening.,She suppressed her urge to scream because she didn’t want to be noticed.
3378,tram,træm,A tram is a vehicle like a streetcar that runs on electricity above ground.,I took the tram to Eighth Avenue.
3379,unsettle,ʌnˈsetl,To unsettle someone means to make them anxious or worried.,The dark clouds in the sky unsettled Beth.
3380,warp,wɔːrp,To warp means to become bent into the wrong shape.,"The woman put the clock above the fireplace, and the heat warped it."
3381,accumulate,əˈkjuːmjəleɪt,To accumulate something is to collect a lot of it over time.,The mail accumulated in their mailbox while they were on vacation.
3382,aerial,ˈeriəl,"When something is aerial, it relates to being in the air or flying.",The aerial photographer took pictures from the air balloon.
3383,apparatus,ˌæpəˈrætəs,An apparatus is a device used for a particular purpose.,The campers had an apparatus that showed them their exact location.
3384,avalanche,ˈævəlæntʃ,"An avalanche is a large amount of snow, ice, and rock falling off a mountain.",The avalanche destroyed the mountain village.
3385,consistency,kənˈsɪstənsi,Consistency is the state of always behaving in the same way.,Her consistency in archery meant that our team had a chance to win.
3386,discharge,dɪsˈtʃɑːrdʒ,"To discharge someone is to allow them to leave from a place, usually a hospital.",I was discharged from the hospital after three days.
3387,episode,ˈepɪsəʊd,An episode is something that happens as part of a series of events.,We watched the final exciting episode of the TV series.
3388,intact,ɪnˈtækt,"When something is intact, it is complete and not damaged.","Despite being over 30 years old, my father’s model ship is still intact."
3389,mortal,ˈmɔːrtl,"When a person is mortal, they cannot live forever.",All people are mortal.
3390,omen,ˈəʊmən,An omen is a sign of what will happen in the future.,He thought that seeing a black cat in the street was an omen of bad luck.
3391,overcast,ˌəʊvərˈkæst,"When the sky is overcast, it is full of clouds and is not sunny.","The sky was overcast in the morning, but by noon it was bright again."
3392,poignant,ˈpɔɪnjənt,"When something is poignant, it causes a very strong feeling of sadness.",The girls cried at the end of the poignant movie.
3393,ranger,ˈreɪndʒər,A ranger is a person who protects forests or parks.,Peter wanted to be a ranger because he liked spending time outside.
3394,rubble,ˈrʌbl,Rubble is piles of broken stone and wood created after a building is destroyed.,There was rubble all over the city after the earthquake.
3395,seclude,sɪˈkluːd,To seclude someone means to keep them away from other people.,She was secluded on an island for over a year.
3396,sideways,ˈsaɪdweɪz,"If something moves sideways, then it moves to or from the side.",Jim turned sideways in order to slow down and stop his snowboard.
3397,sob,sɑːb,To sob is to cry loudly.,I sobbed when my youngest daughter got married.
3398,sober,ˈsəʊbər,"When something or someone is sober, they are serious and calm.","After the funeral, everybody felt very sober."
3399,speck,spek,A speck is a very small mark or amount.,A speck of blood appeared where the mosquito had bit him.
3400,upbringing,ˈʌpbrɪŋɪŋ,An upbringing is the way that someone is taught to behave by their parents.,He had a strict upbringing and was never allowed to watch television.
3401,bliss,blɪs,Bliss is a state of complete happiness.,"Every time he sees his girlfriend, he feels a sense of bliss."
3402,butler,ˈbʌtlər,A butler is the most important male servant in a wealthy house.,"Whenever he needed something, he rang a bell, and the butler appeared."
3403,cramp,kræmp,A cramp is a strong pain caused by a muscle after a lot of physical use.,"After the marathon, Jenny got a terrible cramp in her calf muscle."
3404,decorate,ˈdekəreɪt,"When you decorate a room, you make it more attractive by adding beautiful things to it.",Have you decorated the room for Christmas yet?
3405,dilapidated,dɪˈlæpɪdeɪtɪd,"When a building is dilapidated, it is old and in bad condition.",Paint peeled off of the old dilapidated apartment building.
3406,evoke,ɪˈvəʊk,To evoke a memory or emotion means to make it occur.,The picture evoked memories of when she was a young girl.
3407,farewell,ˌferˈwel,A farewell is an instance of saying goodbye or a way to say it.,She got on the plane after we said our farewells.
3408,faucet,ˈfɔːsɪt,A faucet is a device that controls the flow of a liquid or gas.,Turn off the faucet when you are done brushing your teeth.
3409,filth,fɪlθ,Filth is dirt or dirty things that disgust you.,There was tons of filth and trash on the shore of the river.
3410,flaw,flɔː,A flaw is a mistake in something that causes it to be less effective or correct.,We discovered a major flaw in the metal chain.
3411,grin,ɡrɪn,To grin means to smile broadly.,That joke makes me grin every time I hear it.
3412,housekeeping,ˈhaʊskiːpɪŋ,Housekeeping is the maintenance of a house or an establishment like a hotel.,"Housekeeping is not much fun, but it has to be done."
3413,mound,maʊnd,A mound of something is a large pile of it.,There was a mound of clothes on the teenager’s messy floor.
3414,numb,nʌm,"When a body part is numb, it does not have any feeling.","After holding my hand under the icy water, my fingers were numb."
3415,reckless,ˈrekləs,"When people are reckless, they act in an unsafe way.",The reckless driver posed a threat to everyone else on the road.
3416,slate,sleɪt,Slate is a dark grey rock that can easily be split into layers.,The roof of the church is made of slate.
3417,stool,stuːl,A stool is a seat with legs but no support for a person’s arms and back.,I don’t find stools very comfortable to sit on.
3418,testament,ˈtestəmənt,A testament to something shows that it exists or is true.,The beautiful performance was a testament to the singer’s natural talents.
3419,timber,ˈtɪmbər,Timber is wood that is used for building houses and making furniture.,Trees in this area are grown specifically to be used for timber.
3420,valve,vælv,A valve is a device attached to a pipe and controls the flow of liquid or air.,The mechanic removed the dirt to clear the engine valve.
3421,camouflage,ˈkæməflɑːʒ,Camouflage is something used to hide people and things.,The green and brown camouflage was best used for hiding in forests and jungles.
3422,confront,kənˈfrʌnt,"When you confront someone, you meet them face to face to deal with a problem.",I confronted him as he left the meeting and told him I thought he was wrong.
3423,contemplate,ˈkɑːntəmpleɪt,To contemplate something means to think about it.,Mark took a moment to contemplate the math problem before solving it.
3424,contend,kənˈtend,To contend with something means to struggle to overcome it.,Stacy had to contend with a learning disability throughout high school.
3425,cot,kɑːt,A cot is a small portable bed.,"At the camp, the boys’ cabin was lined with cots."
3426,enlist,ɪnˈlɪst,To enlist means to join the military.,"In their final year at school, the students were asked to enlist in the military."
3427,frontier,frʌnˈtɪr,A frontier is a border between two regions or countries.,A fence was built along the frontier where the river curved.
3428,guerilla,gərílə,A guerilla is a person who fights as part of an unofficial army.,Guerilla warfare involves a lot of hit-and-run fighting.
3429,handbook,ˈhændbʊk,A handbook is material that gives specific information or instructions.,"If you look at the handbook, it will tell you which wires to connect to the TV."
3430,hesitant,ˈhezɪtənt,"If someone is hesitant, then they are not sure or are slow to act or speak.","Although he knew the answer, he was hesitant to say it because he might be wrong."
3431,lush,lʌʃ,"If something is lush, then it is full of a variety of large, healthy plants.","The lush jungle was filled with plants, trees, and vines."
3432,outfit,ˈaʊtfɪt,"An outfit is a set of clothes worn together, often for a certain job or event.",Kelly’s new outfit made her look so glamourous.
3433,paw,pɔː,A paw is an animal’s foot that has claws or soft pads.,The kitten cleaned its paws with its tongue.
3434,splendid,ˈsplendɪd,"If something or someone is splendid, then they are very good.","From his head down to his shoes, his clothes looked splendid."
3435,stray,streɪ,To stray means to go in a wrong direction and become lost.,He found himself lost because he had strayed from the tour group.
3436,substantial,səbˈstænʃl,"If something is substantial, then it is of great importance, size, or value.",The bank said that he owed it a substantial amount of money.
3437,torch,tɔːrtʃ,A torch is a stick with one end on fire that can be carried in order to give light.,He grabbed a piece of wood and stuck it in the fire in order to make a torch.
3438,tract,trækt,A tract is a large area of land.,"On the other side of the mountains, there was a long tract of forest."
3439,vigil,ˈvɪdʒɪl,A vigil is a period of watchful attention at night for a specific purpose.,He had a vigil in front of the tomb for three days.
3440,weary,ˈwɪri,"If someone is weary, then they are tired.",Jane was weary after a long day of work.
3441,amid,əˈmɪd,"If something is amid something else, then it is in the middle of it.",The bee was busily flying amid the flowers in the garden.
3442,backstage,ˌbækˈsteɪdʒ,"If something happens backstage, it occurs behind a theater’s stage.","After the show, the director went backstage and thanked the actors."
3443,billionaire,ˌbɪljəˈner,A billionaire is someone who has at least one billion dollars.,The sale of his inventions made the inventor a billionaire.
3444,brute,bruːt,A brute is someone who behaves or looks like a violent animal.,My older brother can act like a brute when he doesn’t get his way.
3445,clumsy,ˈklʌmzi,"If someone is clumsy, then they are awkward in handling things.",The businessman was clumsy and dropped his work files.
3446,collide,kəˈlaɪd,To collide with something means to hit it while moving.,The two cars collided with each other because their drivers were not careful.
3447,culprit,ˈkʌlprɪt,A culprit is someone who has committed a crime or other bad deed.,The police were still searching for the culprit from the robbery.
3448,evacuate,ɪˈvækjueɪt,To evacuate means to leave a place of danger to a place of safety.,"During the flood, many families were evacuated to higher ground."
3449,flammable,ˈflæməbl,"If something is flammable, then it is able to catch on fire.",Be careful with that blanket near the candle. It is extremely flammable.
3450,mob,mɑːb,A mob is a large crowd of people that often wants to cause violence.,The copier was destroyed by a mob of angry workers.
3451,premature,ˌpriːməˈtʃʊr,"If something is premature, then it is done too early or before the proper time.",Mark’s celebration was premature because the ball hadn’t fallen in the hole.
3452,resent,rɪˈzent,To resent something means to have bad feelings about it.,He resented the fact that he had never been able to play an instrument.
3453,satire,ˈsætaɪər,A satire is a work of art that uses humor and irony to make fun of something.,This book is a satire of what life was like in the army.
3454,scrutiny,ˈskruːtəni,Scrutiny is the careful examination of something.,A scientist should always practice scrutiny with their work.
3455,segregate,ˈseɡrɪɡeɪt,To segregate something means to place it in a group apart from other things.,"In gym class, the children were segregated into two groups: boys and girls."
3456,subject,ˈsʌbdʒekt,To subject someone to something means to force them to do or experience it.,The officers subjected everyone to a careful search before they left the plane.
3457,testify,ˈtestɪfaɪ,To testify means to give evidence as a witness.,The judge listened while the victim testified about the robbery.
3458,tumult,ˈtuːmʌlt,A tumult is a loud and confused noise made by a large crowd of people.,She couldn’t hear her friend over the tumult of the other excited guests.
3459,underestimate,ˌʌndərˈestɪmeɪt,To underestimate something or someone means to think less of them than they really are.,We lost the game because we underestimated the other team’s skill.
3460,uproar,ˈʌprɔːr,Uproar is loud noise caused by people who are very angry or upset.,The fans made a great uproar when their team lost the game.
3461,accelerate,əkˈseləreɪt,To accelerate means to increase in speed.,"When he stepped on the gas pedal, the motorcycle accelerated."
3462,anew,əˈnuː,"If you do something anew, you do it again, possibly in a different way.","Although he had failed his driving test, he decided to try it anew."
3463,defect,ˈdiːfekt,A defect is a part of something that is wrong or missing.,All these bottles have a defect and must be sent back to the warehouse.
3464,dreary,ˈdrɪri,"If something is dreary, then it is dull, dark, and lifeless.","After the fire, this section of forest is rather dreary."
3465,duplicate,ˈduːplɪkeɪt,To duplicate something means to copy it.,She duplicated her friend’s movements like she was in front of a mirror.
3466,electromagnetic,ɪˌlektrəʊmæɡˈnetɪk,"If something is electromagnetic, it is related to electricity and magnetic fields.",Different colors of light come from different levels of electromagnetic energy.
3467,electron,ɪˈlektrɑːn,An electron is a particle in all atoms that has a negative electric charge.,The number of electrons in an atom determines its charge.
3468,glide,ɡlaɪd,To glide means to fly on extended wings with little or no effort.,"When the wind is blowing, birds can glide easily through the sky."
3469,ingenious,ɪnˈdʒiːniəs,"If someone is ingenious, then they are very smart.",Charles was the only person ingenious enough to repair the plane’s engines.
3470,innovation,ˌɪnəˈveɪʃn,"An innovation is a product, or an idea, that is new or very original.",Mrs. Johnson made a great innovation to the company’s business plan.
3471,innovative,ˈɪnəvətɪv,"If something or someone is innovative, they can think in creative ways.","Since Peter was so innovative, he was chosen to lead the science team."
3472,launch,lɔːntʃ,To launch something means to make it go into motion.,The boat launched from the dock and foated down the river.
3473,meteorological,ˌmiːtiərəˈlɑːdʒɪkl,"If something is meteorological, it is concerned with the science of weather.",The thunderstorm was so large that it became a great meteorological event.
3474,meteorology,ˌmiːtiəˈrɑːlədʒi,Meteorology is the science that studies the weather.,"In order to understand the weather better, you should study meteorology."
3475,penetrate,ˈpenətreɪt,To penetrate something means to enter into it.,The knife easily penetrated the surface of the orange.
3476,persistent,pərˈsɪstənt,A persistent person does not give up and keeps on working.,They made persistent attempts to get him to eat.
3477,propulsion,prəˈpʌlʃn,Propulsion is the force that moves something forward.,The propulsion lifted the rocket into the sky.
3478,simulate,ˈsɪmjuleɪt,To simulate something means to copy its actions or characteristics.,The French language teacher could simulate the accent of a French citizen.
3479,spur,spɜːr,To spur someone means to urge them into action.,The coach’s speech spurred her team into playing the best game of their lives.
3480,stimulate,ˈstɪmjuleɪt,To stimulate something means to cause or to increase activity in it.,Doctors sometimes use electric shock to stimulate a patient’s heartbeat.
3481,beforehand,bɪˈfɔːrhænd,"If something is done beforehand, then it is done in advance.","He packed his luggage beforehand, so he was able to leave right away."
3482,blurred,blɜːrd,Something blurred is not seen clearly.,There was blurred photographs of what was supposed to be a flying saucer.
3483,centigrade,ˈsentɪɡreɪd,"If a temperature is given in centigrade, it is the same as the temperature in Celsius.","During the spring time, the temperature gets as warm as 26 degrees centigrade."
3484,chatter,ˈtʃætər,To chatter means to talk quickly about unimportant things.,The children chattered in the back of the classroom.
3485,concerto,kənˈtʃertəʊ,A concerto is music played with an orchestra but features a solo instrument.,The piano concerto has a section in which only the piano plays.
3486,condense,kənˈdens,To condense a gas means to make it a liquid.,The cool air made tiny drops of water condense on the tops of the grass.
3487,deteriorate,dɪˈtɪriəreɪt,To deteriorate means to become steadily worse.,The nation’s economy continued to deteriorate despite the politicians’ efforts.
3488,degree,dɪˈɡriː,Degree is a unit for measuring temperature.,The thermometer recorded a temperature of 38 degrees Celsius.
3489,exterior,ɪkˈstɪriər,An exterior is the outside surface of something.,"The exterior of the nut was hard and woody, but the inside was soft and delicious."
3490,hearty,ˈhɑːrti,"If someone or something is hearty, then they are loud and happy.",The grandmother ended her story with a hearty laugh that pleased her grandchild.
3491,hospitable,ˈhɒspɪtəbl,"If someone is hospitable, they are friendly to strangers.","At dinner, my dad was very hospitable to my friends."
3492,humor,ˈhjuːmər,"Humor can be something that makes you laugh, and it can also refer to your feelings.","He woke up in an ill humor, angry at everyone."
3493,manor,ˈmænər,A manor is a large house with many rooms.,The manor had over forty rooms and beautiful gardens.
3494,monastery,ˈmɑːnəsteri,A monastery is a building in which monks live.,The monks at this monastery are famous for their bread and music.
3495,nursery,ˈnɜːrsəri,"A nursery is a room where babies and children sleep, play, or are cared for.",The children kissed their parents goodnight and went upstairs to the nursery.
3496,outstretched,ˌaʊtˈstretʃt,"If something is outstretched, then it is extended to its full length.",The cat stood on its back legs with its front legs outstretched.
3497,parcel,ˈpɑːrsl,A parcel is a package of things to be carried or mailed somewhere.,The parcel looked like it had been stepped on by someone.
3498,profile,ˈprəʊfaɪl,"A profile is an outline of a face, usually as seen from the side.",The drawing of Olivia’s profile came out very well.
3499,winding,ˈwaɪndɪŋ,"If something is winding, then it follows a twisting course.",The winding river turned and looped around the hills.
3500,zip,zɪp,To zip something means to close it with a zipper.,She zipped her backpack closed after putting her books inside it.
3501,abolish,əˈbɑːlɪʃ,"To abolish something means to put an end to it, such as a system or law.",President Lincoln abolished slavery in the US.
3502,amend,əˈmend,To amend something means to change it to improve or make it accurate.,The countries were in agreement that the treaty needed to be amended.
3503,aspire,əˈspaɪər,To aspire means to have a strong desire to achieve or do something.,George aspired to be a doctor from a young age.
3504,censor,ˈsensər,"To censor information means to remove it if it is dangerous, rude, or rebellious.","To protect innocent people, the location of the bomb was censored."
3505,charter,ˈtʃɑːrtər,A charter is a document that describes the rights of an organization or group.,The company charter explained that all employees had to pay a tax.
3506,constitution,ˌkɑːnstɪˈtuːʃn,A constitution is a document of principles for a government.,The country’s constitution said a prime minister could only serve three terms.
3507,cosmopolitan,ˌkɑːzməˈpɑːlɪtən,"When a place is cosmopolitan, it is full of people from many different places.",There are dozens of different types of restaurants in a cosmopolitan city.
3508,disseminate,dɪˈsemɪneɪt,To disseminate information or knowledge means to distribute it.,The organization disseminates information about the dangers of smoking.
3509,flatter,ˈflætər,To fatter people means to praise them in an effort to please them.,He was just flattering me when he said that my new dress looked gorgeous.
3510,infamous,ˈɪnfəməs,"When someone is infamous, they are well known for something bad.",That news channel is infamous for presenting biased information.
3511,lame,leɪm,"If one is lame, they cannot walk properly due to an injury to the leg or foot.",The terrible accident left many people dead and several others lame.
3512,limp,lɪmp,To limp means to walk with difficulty because someone’s leg or foot is hurt.,"After the injury, the player limped off of the field."
3513,outburst,ˈaʊtbɜːrst,"An outburst is a sudden, strong expression of an emotion.",There was an outburst of cheers when the comedian took the stage.
3514,pathological,ˌpæθəˈlɑːdʒɪkl,"When a behavior is pathological, it is extreme, unacceptable, and sometimes a symptom of disease.",The pathological liar could not even tell the truth about unimportant matters.
3515,phenomenal,fəˈnɑːmɪnl,"When something is phenomenal, it is unusually great.",The child’s ability to play the piano is nothing short of phenomenal.
3516,poll,pəʊl,A poll is a survey in which people give their opinions about important things.,The poll showed that many people support the plan to stop gang violence.
3517,remorse,rɪˈmɔːrs,Remorse is a strong feeling of sadness and regret.,"When I realized what I had done, I felt remorse for my actions."
3518,secrecy,ˈsiːkrəsi,Secrecy is the behavior of keeping things secret.,The secrecy of the big organization made the government nervous.
3519,tackle,ˈtækl,To tackle something means to deal with it in a determined and efficient way.,Such social problems need to be tackled right away.
3520,trance,træns,A trance is a state where people seem asleep and have no control of themselves.,The woman’s powerful eyes often put men in a trance.
3521,coward,ˈkaʊərd,A coward is a person who lacks courage to do risky or dangerous things.,A firefighter cannot be a coward. They have to be able to act quickly.
3522,delete,dɪˈliːt,To delete something means to remove or erase written material.,Several lines had been deleted from her speech.
3523,earnest,ˈɜːrnɪst,"If someone is earnest, then they are honest.",The child was very earnest when she told her mother how she broke the dish.
3524,ethnic,ˈeθnɪk,"If something is ethnic, then it is related to a group with a similar culture.",Many sections of the city are home to different ethnic communities.
3525,exclude,ɪkˈskluːd,To exclude someone means to not accept them into a group.,Carol was excluded from the contest because her friend was a judge.
3526,firsthand,fə́ːrsthǽnd,"If something is firsthand, then it is from an original source.","If you want firsthand knowledge, ask someone who saw it."
3527,fluent,ˈfluːənt,"If someone is fluent in a language, then they are able to speak it very well.",She was so fluent in German that you’d have thought she was from Germany.
3528,imperial,ɪmˈpɪriəl,"If something is imperial, then it is related to an empire.",These old imperial coins were once used in the Roman Empire.
3529,inclusive,ɪnˈkluːsɪv,"If something is inclusive, then it is open to all groups and people in society.",A more inclusive event would have allowed children to attend.
3530,legislature,ˈledʒɪsleɪtʃər,A legislature is the section of a government that makes laws.,The senator had served ten years in the national legislature.
3531,linguistic,lɪŋˈɡwɪstɪk,"If something is linguistic, then it is concerned with language.",A linguistic way of studying culture focuses on words within that culture.
3532,monolingual,ˌmɑːnəˈlɪŋɡwəl,"If someone is monolingual, then they speak only one language.","In today’s global economy, being monolingual limits your opportunities."
3533,nationality,ˌnæʃəˈnæləti,Nationality is an identity based on the nation from which you come.,"His nationality is German, but he speaks French, Spanish, and Korean."
3534,patriot,ˈpeɪtriət,"A patriot is someone who loves, supports, and defends their country.","Every year, young patriots join their countries’ militaries."
3535,prosecute,ˈprɑːsɪkjuːt,To prosecute someone means to take legal action against them.,They were prosecuted for fishing in the river without a permit.
3536,racial,ˈreɪʃl,"If something is racial, then it is related to a race or races.",The differences between racial groups are physical characteristics and culture.
3537,solemn,ˈsɑːləm,"If something is solemn, then it is serious and honest.",The professor preferred a solemn relationship between him and his students.
3538,solidarity,ˌsɑːlɪˈdærəti,Solidarity is a union formed from common responsibilities or interests.,All the citizens came together in a show of solidarity to create change.
3539,tact,tækt,Tact is the ability to avoid offending people when dealing with problems.,"Since both sides would not agree, it required someone with tact to make peace."
3540,undermine,ˌʌndərˈmaɪn,To undermine someone means to betray them or weaken their efforts or authority.,The documents helped to undermine the workers’ trust in their bosses’ honesty.
3541,constrain,kənˈstreɪn,To constrain something means to limit its development.,Jim cannot join us because he is constrained by previous plans.
3542,depot,ˈdiːpəʊ,A depot is a bus or train station.,He waited for his mother to arrive at the depot.
3543,emulate,ˈemjuleɪt,To emulate people means to imitate them because they are greatly admired.,"As a small boy, he always tried to emulate his big brother."
3544,forefinger,ˈfɔːrfɪŋɡər,The forefinger is the finger between one’s thumb and middle finger.,"He shouted, “There it is!” and pointed with his forefinger."
3545,guts,gʌts,The guts are all the organs inside a person or animal.,The doctor can tell you every process that happens in one’s guts.
3546,inherent,ɪnˈhɪərənt,"When something is inherent, it is a natural part of something else.",Sweating is an inherent bodily function when exercising.
3547,intimidate,ɪnˈtɪmɪdeɪt,To intimidate means to frighten others.,My dad intimidates my friends whenever they visit.
3548,janitor,ˈdʒænɪtər,A janitor is a person who makes repairs and takes care of a building.,The school janitor cleaned up the messy cafeteria.
